上证指数	sh000001
常熟银行	sh601128
博威合金	sh601137
工业富联	sh601138
深圳燃气	sh601139
新城控股	sh601155
重庆水务	sh601158
天风证券	sh601162
三角轮胎	sh601163
兴业银行	sh601166
西部矿业	sh601168
北京银行	sh601169
杭齿前进	sh601177
中国西电	sh601179
中国铁建	sh601186
龙江交通	sh601188
东兴证券	sh601198
江南水务	sh601199
上海环境	sh601200
海尔施	sh601206
东材科技	sh601208
国泰君安	sh601211
白银有色	sh601212
君正集团	sh601216
吉鑫科技	sh601218
林洋能源	sh601222
陕西煤业	sh601225
华电重工	sh601226
广州港	sh601228
上海银行	sh601229
环旭电子	sh601231
桐昆股份	sh601233
红塔证券	sh601236
广汽集团	sh601238
庞大集团	sh601258
*ST二重	sh601268
农业银行	sh601288
青岛港	sh601298
中国北车	sh601299
骆驼股份	sh601311
江南嘉捷	sh601313
中国平安	sh601318
中国人保	sh601319
秦港股份	sh601326
交通银行	sh601328
绿色动力	sh601330
广深铁路	sh601333
新华保险	sh601336
百隆东方	sh601339
三六零	sh601360
利群股份	sh601366
绿城水务	sh601368
陕鼓动力	sh601369
中原证券	sh601375
XD兴业证	sh601377
怡球资源	sh601388
中国中铁	sh601390
工商银行	sh601398
通用股份	sh601500
东风股份	sh601515
吉林高速	sh601518
大智慧	sh601519
东吴证券	sh601555
ST锐电	sh601558
九牧王	sh601566
三星医疗	sh601567
长沙银行	sh601577
会稽山	sh601579
北辰实业	sh601588
上海电影	sh601595
中国外运	sh601598
鹿港文化	sh601599
中国铝业	sh601600
中国太保	sh601601
长城军工	sh601606
上海医药	sh601607
中信重工	sh601608
中国核建	sh601611
明阳智能	sh601615
广电电气	sh601616
中国中冶	sh601618
嘉泽新能	sh601619
中国人寿	sh601628
长城汽车	sh601633
旗滨集团	sh601636
平煤股份	sh601666
中国建筑	sh601668
中国电建	sh601669
明泰铝业	sh601677
滨化股份	sh601678
华泰证券	sh601688
拓普集团	sh601689
中国卫通	sh601698
潞安环能	sh601699
风范股份	sh601700
郑煤机	sh601717
际华集团	sh601718
上海电气	sh601727
中国中车	sh601766
力帆股份	sh601777
光大证券	sh601788
宁波建工	sh601789
ST蓝科	sh601798
星宇股份	sh601799
中国交建	sh601800
皖新传媒	sh601801
中海油服	sh601808
新华文轩	sh601811
光大银行	sh601818
美凯龙	sh601828
成都银行	sh601838
中国石油	sh601857
中国科传	sh601858
紫金银行	sh601860
福莱特	sh601865
中远海发	sh601866
长飞光纤	sh601869
招商轮船	sh601872
正泰电器	sh601877
浙商证券	sh601878
大连港	sh601880
中国银河	sh601881
海天精工	sh601882
江河集团	sh601886
中国国旅	sh601888
亚星锚链	sh601890
中煤能源	sh601898
紫金矿业	sh601899
南方传媒	sh601900
方正证券	sh601901
京运通	sh601908
新集能源	sh601918
中远海控	sh601919
凤凰传媒	sh601928
吉视传媒	sh601929
永辉超市	sh601933
建设银行	sh601939
中国出版	sh601949
苏垦农发	sh601952
金钼股份	sh601958
中国汽研	sh601965
玲珑轮胎	sh601966
宝钢包装	sh601968
海南矿业	sh601969
招商南油	sh601975
中国核电	sh601985
中国银行	sh601988
中国重工	sh601989
南京证券	sh601990
大唐发电	sh601991
金隅集团	sh601992
丰林集团	sh601996
贵阳银行	sh601997
中信银行	sh601998
出版传媒	sh601999
人民网	sh603000
奥康国际	sh603001
宏昌电子	sh603002
龙宇燃油	sh603003
晶方科技	sh603005
联明股份	sh603006
花王股份	sh603007
喜临门	sh603008
北特科技	sh603009
万盛股份	sh603010
合锻智能	sh603011
创力集团	sh603012
亚普股份	sh603013
弘讯科技	sh603015
新宏泰	sh603016
中衡设计	sh603017
中设集团	sh603018
中科曙光	sh603019
爱普股份	sh603020
山东华鹏	sh603021
新通联	sh603022
威帝股份	sh603023
大豪科技	sh603025
石大胜华	sh603026
千禾味业	sh603027
赛福天	sh603028
天鹅股份	sh603029
全筑股份	sh603030
安德利	sh603031
德新交运	sh603032
三维股份	sh603033
常熟汽饰	sh603035
如通股份	sh603036
凯众股份	sh603037
华立股份	sh603038
泛微网络	sh603039
新坐标	sh603040
美思德	sh603041
华脉科技	sh603042
广州酒家	sh603043
福达合金	sh603045
科林电气	sh603050
台华新材	sh603055
德邦股份	sh603056
永吉股份	sh603058
倍加洁	sh603059
国检集团	sh603060
禾望电气	sh603063
音飞储存	sh603066
振华股份	sh603067
博通集成	sh603068
海汽集团	sh603069
乐惠国际	sh603076
和邦生物	sh603077
江化微	sh603078
圣达生物	sh603079
新疆火炬	sh603080
大丰实业	sh603081
剑桥科技	sh603083
天成自控	sh603085
先达股份	sh603086
宁波精达	sh603088
正裕工业	sh603089
宏盛股份	sh603090
南华期货	sh603093
新经典	sh603096
森特股份	sh603098
长白山	sh603099
川仪股份	sh603100
汇嘉时代	sh603101
横店影视	sh603103
芯能科技	sh603105
恒银金融	sh603106
润达医疗	sh603108
东方材料	sh603110
康尼机电	sh603111
金能科技	sh603113
海星股份	sh603115
红蜻蜓	sh603116
万林物流	sh603117
共进股份	sh603118
华培动力	sh603121
翠微股份	sh603123
中材节能	sh603126
昭衍新药	sh603127
华贸物流	sh603128
春风动力	sh603129
上海沪工	sh603131
碳元科技	sh603133
天目湖	sh603136
海量数据	sh603138
康惠制药	sh603139
养元饮品	sh603156
拉夏贝尔	sh603157
腾龙股份	sh603158
上海亚虹	sh603159
汇顶科技	sh603160
科华控股	sh603161
荣晟环保	sh603165
福达股份	sh603166
渤海轮渡	sh603167
莎普爱思	sh603168
兰石重装	sh603169
德创环保	sh603177
圣龙股份	sh603178
新泉股份	sh603179
金牌厨柜	sh603180
皇马科技	sh603181
建研院	sh603183
上机数控	sh603185
华正新材	sh603186
海容冷链	sh603187
ST亚邦	sh603188
网达软件	sh603189
汇得科技	sh603192
日播时尚	sh603196
保隆科技	sh603197
迎驾贡酒	sh603198
九华旅游	sh603199
上海洗霸	sh603200
快克股份	sh603203
江山欧派	sh603208
爱婴室	sh603214
元利科技	sh603217
日月股份	sh603218
中贝通信	sh603220
济民制药	sh603222
恒通股份	sh603223
新凤鸣	sh603225
菲林格尔	sh603226
雪峰科技	sh603227
景旺电子	sh603228
奥翔药业	sh603229
格尔软件	sh603232
大参林	sh603233
移远通信	sh603236
诺邦股份	sh603238
浙江仙通	sh603239
宏和科技	sh603256
电魂网络	sh603258
药明康德	sh603259
合盛硅业	sh603260
天龙股份	sh603266
鸿远电子	sh603267
松发股份	sh603268
海鸥股份	sh603269
银都股份	sh603277
大业股份	sh603278
景津环保	sh603279
赛腾股份	sh603283
日盈电子	sh603286
海天味业	sh603288
泰瑞机器	sh603289
永新光学	sh603297
杭叉集团	sh603298
苏盐井神	sh603299
华铁科技	sh603300
振德医疗	sh603301
鑫广绿环	sh603302
得邦照明	sh603303
旭升股份	sh603305
华懋科技	sh603306
应流股份	sh603308
维力医疗	sh603309
金海环境	sh603311
梦百合	sh603313
福鞍股份	sh603315
诚邦股份	sh603316
天味食品	sh603317
派思股份	sh603318
湘油泵	sh603319
迪贝电气	sh603320
梅轮电梯	sh603321
超讯通信	sh603322
苏农银行	sh603323
我乐家居	sh603326
福蓉科技	sh603327
依顿电子	sh603328
上海雅仕	sh603329
上海天洋	sh603330
百达精工	sh603331
苏州龙杰	sh603332
尚纬股份	sh603333
迪生力	sh603335
宏辉果蔬	sh603336
杰克股份	sh603337
浙江鼎力	sh603338
四方科技	sh603339
安井食品	sh603345
文灿股份	sh603348
威尔药业	sh603351
莱克电气	sh603355
华菱精工	sh603356
设计总院	sh603357
华达科技	sh603358
东珠生态	sh603359
百傲化学	sh603360
傲农生物	sh603363
水星家纺	sh603365
日出东方	sh603366
辰欣药业	sh603367
柳药股份	sh603368
今世缘	sh603369
东方时尚	sh603377
亚士创能	sh603378
三美股份	sh603379
易德龙	sh603380
顶点软件	sh603383
惠达卫浴	sh603385
广东骏亚	sh603386
基蛋生物	sh603387
元成股份	sh603388
亚振家居	sh603389
新天然气	sh603393
金辰股份	sh603396
邦宝益智	sh603398
吉翔股份	sh603399
信捷电气	sh603416
鼎信通讯	sh603421
集友股份	sh603429
吉比特	sh603444
九洲药业	sh603456
勘设股份	sh603458
风语筑	sh603466
振静股份	sh603477
科沃斯	sh603486
展鹏科技	sh603488
恒为科技	sh603496
翔港科技	sh603499
祥和实业	sh603500
韦尔股份	sh603501
金石资源	sh603505
南都物业	sh603506
振江股份	sh603507
思维列控	sh603508
欧普照明	sh603515
淳中科技	sh603516
绝味食品	sh603517
锦泓集团	sh603518
立霸股份	sh603519
司太立	sh603520
众源新材	sh603527
多伦科技	sh603528
神马电力	sh603530
掌阅科技	sh603533
嘉诚国际	sh603535
惠发食品	sh603536
美诺华	sh603538
贵人鸟	sh603555
海兴电力	sh603556
起步股份	sh603557
健盛集团	sh603558
中通国脉	sh603559
普莱柯	sh603566
珍宝岛	sh603567
伟明环保	sh603568
长久物流	sh603569
汇金通	sh603577
三星新材	sh603578
荣泰健康	sh603579
艾艾精工	sh603580
捷昌驱动	sh603583
苏利股份	sh603585
金麒麟	sh603586
地素时尚	sh603587
高能环境	sh603588
口子窖	sh603589
康辰药业	sh603590
东尼电子	sh603595
伯特利	sh603596
引力传媒	sh603598
广信股份	sh603599
永艺股份	sh603600
再升科技	sh603601
纵横通信	sh603602
博天环境	sh603603
珀莱雅	sh603605
东方电缆	sh603606
京华激光	sh603607
天创时尚	sh603608
禾丰牧业	sh603609
诺力股份	sh603611
索通发展	sh603612
国联股份	sh603613
茶花股份	sh603615
韩建河山	sh603616
君禾股份	sh603617
杭电股份	sh603618
中曼石油	sh603619
科森科技	sh603626
清源股份	sh603628
利通电子	sh603629
拉芳家化	sh603630
徕木股份	sh603633
南威软件	sh603636
镇海股份	sh603637
艾迪精密	sh603638
海利尔	sh603639
畅联股份	sh603648
彤程新材	sh603650
朗博科技	sh603655
泰禾光电	sh603656
春光科技	sh603657
安图生物	sh603658
璞泰来	sh603659
苏州科达	sh603660
恒林股份	sh603661
柯力传感	sh603662
三祥新材	sh603663
康隆达	sh603665
亿嘉和	sh603666
五洲新春	sh603667
天马科技	sh603668
灵康药业	sh603669
卫信康	sh603676
奇精机械	sh603677
火炬电子	sh603678
华体科技	sh603679
今创集团	sh603680
永冠新材	sh603681
晶华新材	sh603683
晨丰科技	sh603685
龙马环卫	sh603686
大胜达	sh603687
石英股份	sh603688
皖天然气	sh603689
至纯科技	sh603690
江苏新能	sh603693
安记食品	sh603696
有友食品	sh603697
航天工程	sh603698
纽威股份	sh603699
宁波水表	sh603700
德宏股份	sh603701
盛洋科技	sh603703
东方环宇	sh603706
健友股份	sh603707
家家悦	sh603708
中源家居	sh603709
香飘飘	sh603711
七一二	sh603712
密尔克卫	sh603713
塞力斯	sh603716
天域生态	sh603717
海利生物	sh603718
中广天择	sh603721
阿科力	sh603722
天安新材	sh603725
朗迪集团	sh603726
博迈科	sh603727
鸣志电器	sh603728
龙韵股份	sh603729
岱美股份	sh603730
仙鹤股份	sh603733
三棵树	sh603737
泰晶科技	sh603738
蔚蓝生物	sh603739
日辰股份	sh603755
大元泵业	sh603757
秦安股份	sh603758
隆鑫通用	sh603766
中马传动	sh603767
常青股份	sh603768
沃格光电	sh603773
永安行	sh603776
来伊份	sh603777
乾景园林	sh603778
威龙股份	sh603779
科博达	sh603786
新日股份	sh603787
宁波高发	sh603788
星光农机	sh603789
雅运股份	sh603790
联泰环保	sh603797
康普顿	sh603798
华友钴业	sh603799
道森股份	sh603800
志邦家居	sh603801
瑞斯康达	sh603803
福斯特	sh603806
歌力思	sh603808
豪能股份	sh603809
ST丰山	sh603810
诚意药业	sh603811
原尚股份	sh603813
交建股份	sh603815
顾家家居	sh603816
海峡环保	sh603817
曲美家居	sh603818
神力股份	sh603819
嘉澳环保	sh603822
百合花	sh603823
华扬联众	sh603825
坤彩科技	sh603826
柯利达	sh603828
洛凯股份	sh603829
欧派家居	sh603833
四通股份	sh603838
安正时尚	sh603839
正平股份	sh603843
好太太	sh603848
华荣股份	sh603855
XD东宏股	sh603856
步长制药	sh603858
能科股份	sh603859
中公高科	sh603860
白云电器	sh603861
松炀资源	sh603863
桃李面包	sh603866
新化股份	sh603867
飞科电器	sh603868
新智认知	sh603869
嘉友国际	sh603871
鼎胜新材	sh603876
太平鸟	sh603877
武进不锈	sh603878
永悦科技	sh603879
南卫股份	sh603880
数据港	sh603881
金域医学	sh603882
老百姓	sh603883
吉祥航空	sh603885
元祖股份	sh603886
城地股份	sh603887
新华网	sh603888
新澳股份	sh603889
春秋电子	sh603890
天永智能	sh603895
寿仙谷	sh603896
长城科技	sh603897
好莱客	sh603898
晨光文具	sh603899
莱绅通灵	sh603900
永创智能	sh603901
中持股份	sh603903
龙蟠科技	sh603906
牧高笛	sh603908
合诚股份	sh603909
佳力图	sh603912
国茂股份	sh603915
苏博特	sh603916
合力科技	sh603917
金桥信息	sh603918
金徽酒	sh603919
世运电路	sh603920
金鸿顺	sh603922
铁流股份	sh603926
中科软	sh603927
兴业股份	sh603928
亚翔集成	sh603929
睿能科技	sh603933
博敏电子	sh603936
丽岛新材	sh603937
三孚股份	sh603938
益丰药房	sh603939
大千生态	sh603955
威派格	sh603956
哈森股份	sh603958
百利科技	sh603959
克来机电	sh603960
大理药业	sh603963
法兰泰克	sh603966
中创物流	sh603967
醋化股份	sh603968
银龙股份	sh603969
中农立华	sh603970
正川股份	sh603976
国泰集团	sh603977
深圳新星	sh603978
金诚信	sh603979
吉华集团	sh603980
泉峰汽车	sh603982
丸美股份	sh603983
恒润股份	sh603985
兆易创新	sh603986
XD康德莱	sh603987
中电电机	sh603988
艾华集团	sh603989
麦迪科技	sh603990
至正股份	sh603991
松霖科技	sh603992
洛阳钼业	sh603993
ST中新	sh603996
继峰股份	sh603997
方盛制药	sh603998
读者传媒	sh603999
华兴源创	sh688001
睿创微纳	sh688002
天准科技	sh688003
容百科技	sh688005
杭可科技	sh688006
光峰科技	sh688007
澜起科技	sh688008
中国通号	sh688009
福光股份	sh688010
新光光电	sh688011
中微公司	sh688012
交控科技	sh688015
心脉医疗	sh688016
乐鑫科技	sh688018
安集科技	sh688019
方邦股份	sh688020
瀚川智能	sh688022
沃尔德	sh688028
南微医学	sh688029
天宜上佳	sh688033
航天宏图	sh688066
虹软科技	sh688088
晶晨股份	sh688099
天奈科技	sh688116
西部超导	sh688122
安博通	sh688168
柏楚电子	sh688188
微芯生物	sh688321
铂力特	sh688333
嘉元科技	sh688388
云赛B股	sh900901
市北B股	sh900902
大众B股	sh900903
神奇B股	sh900904
老凤祥B	sh900905
*ST毅达B	sh900906
*ST鹏起B	sh900907
氯碱B股	sh900908
华谊B股	sh900909
海立B股	sh900910
金桥B股	sh900911
外高B股	sh900912
国新B股	sh900913
锦投B股	sh900914
中路B股	sh900915
凤凰B股	sh900916
海欣B股	sh900917
耀皮B股	sh900918
绿庭B股	sh900919
上柴B股	sh900920
丹科B股	sh900921
三毛B股	sh900922
百联B股	sh900923
上工B股	sh900924
机电B股	sh900925
宝信B	sh900926
物贸B股	sh900927
临港B股	sh900928
锦旅B股	sh900929
*ST沪普B	sh900930
PT水仙B	sh900931
陆家B股	sh900932
华新B股	sh900933
锦江B股	sh900934
阳晨B股	sh900935
鄂资B股	sh900936
*ST华电B	sh900937
海科B	sh900938
汇丽B	sh900939
大名城B	sh900940
东信B股	sh900941
黄山B股	sh900942
开开B股	sh900943
海控B股	sh900945
*ST天雁B	sh900946
振华B股	sh900947
伊泰B股	sh900948
东电B股	sh900949
新城B股	sh900950
ST大化B	sh900951
锦港B股	sh900952
凯马B	sh900953
海创B股	sh900955
东贝B股	sh900956
凌云B股	sh900957
平安银行	sz000001
万科A	sz000002
PT金田A	sz000003
国农科技	sz000004
世纪星源	sz000005
深振业A	sz000006
全新好	sz000007
神州高铁	sz000008
中国宝安	sz000009
*ST美丽	sz000010
深物业A	sz000011
南玻A	sz000012
*ST石化A	sz000013
沙河股份	sz000014
PT中浩A	sz000015
深康佳A	sz000016
深中华A	sz000017
*ST神城	sz000018
深粮控股	sz000019
深华发A	sz000020
深科技	sz000021
深赤湾A	sz000022
深天地A	sz000023
招商地产	sz000024
特力A	sz000025
飞亚达A	sz000026
深圳能源	sz000027
国药一致	sz000028
深深房A	sz000029
富奥股份	sz000030
大悦城	sz000031
深桑达A	sz000032
新都退	sz000033
神州数码	sz000034
中国天楹	sz000035
华联控股	sz000036
深南电A	sz000037
深大通	sz000038
中集集团	sz000039
东旭蓝天	sz000040
中洲控股	sz000042
中航善达	sz000043
深纺织A	sz000045
泛海控股	sz000046
ST中侨	sz000047
*ST康达	sz000048
德赛电池	sz000049
深天马A	sz000050
方大集团	sz000055
皇庭国际	sz000056
深赛格	sz000058
华锦股份	sz000059
中金岭南	sz000060
农产品	sz000061
深圳华强	sz000062
中兴通讯	sz000063
北方国际	sz000065
中国长城	sz000066
华控赛格	sz000068
华侨城A	sz000069
特发信息	sz000070
海王生物	sz000078
盐田港	sz000088
深圳机场	sz000089
天健集团	sz000090
广聚能源	sz000096
中信海直	sz000099
TCL集团	sz000100
宜华健康	sz000150
中成股份	sz000151
丰原药业	sz000153
川能动力	sz000155
华数传媒	sz000156
中联重科	sz000157
常山北明	sz000158
国际实业	sz000159
申万宏源	sz000166
东方盛虹	sz000301
美的集团	sz000333
潍柴动力	sz000338
许继电气	sz000400
冀东水泥	sz000401
金融街	sz000402
振兴生化	sz000403
长虹华意	sz000404
ST鑫光	sz000405
石油大明	sz000406
胜利股份	sz000407
藏格控股	sz000408
*ST地矿	sz000409
*ST沈机	sz000410
英特集团	sz000411
ST五环	sz000412
东旭光电	sz000413
渤海租赁	sz000415
民生控股	sz000416
合肥百货	sz000417
小天鹅A	sz000418
通程控股	sz000419
吉林化纤	sz000420
南京公用	sz000421
ST宜化	sz000422
东阿阿胶	sz000423
徐工机械	sz000425
兴业矿业	sz000426
华天酒店	sz000428
粤高速A	sz000429
张家界	sz000430
晨鸣纸业	sz000488
山东路桥	sz000498
鄂武商A	sz000501
绿景控股	sz000502
国新健康	sz000503
*ST生物	sz000504
京粮控股	sz000505
中润资源	sz000506
珠海港	sz000507
琼民源A	sz000508
华塑控股	sz000509
新金路	sz000510
烯碳退	sz000511
丽珠集团	sz000513
渝开发	sz000514
攀渝钛业	sz000515
国际医学	sz000516
荣安地产	sz000517
四环生物	sz000518
中兵红箭	sz000519
长航凤凰	sz000520
长虹美菱	sz000521
白云山A	sz000522
广州浪奇	sz000523
岭南控股	sz000524
红太阳	sz000525
紫光学大	sz000526
美的电器	sz000527
柳工	sz000528
广弘控股	sz000529
大冷股份	sz000530
穗恒运A	sz000531
华金资本	sz000532
顺钠股份	sz000533
万泽股份	sz000534
*ST猴王	sz000535
华映科技	sz000536
广宇发展	sz000537
云南白药	sz000538
粤电力A	sz000539
中天金融	sz000540
佛山照明	sz000541
TCL通讯	sz000542
皖能电力	sz000543
中原环保	sz000544
金浦钛业	sz000545
金圆股份	sz000546
航天发展	sz000547
湖南投资	sz000548
S湘火炬	sz000549
江铃汽车	sz000550
创元科技	sz000551
靖远煤电	sz000552
安道麦A	sz000553
泰山石油	sz000554
神州信息	sz000555
PT南洋	sz000556
西部创业	sz000557
莱茵体育	sz000558
万向钱潮	sz000559
我爱我家	sz000560
烽火电子	sz000561
宏源证券	sz000562
陕国投A	sz000563
供销大集	sz000564
渝三峡A	sz000565
海南海药	sz000566
海德股份	sz000567
泸州老窖	sz000568
长城股份	sz000569
苏常柴A	sz000570
*ST大洲	sz000571
*ST海马	sz000572
粤宏远A	sz000573
广东甘化	sz000576
盐湖集团	sz000578
威孚高科	sz000581
北部湾港	sz000582
S*ST托普	sz000583
哈工智能	sz000584
ST东电	sz000585
汇源通信	sz000586
金洲慈航	sz000587
PT粤金曼	sz000588
贵州轮胎	sz000589
启迪古汉	sz000590
太阳能	sz000591
平潭发展	sz000592
大通燃气	sz000593
国恒退	sz000594
宝塔实业	sz000595
古井贡酒	sz000596
东北制药	sz000597
兴蓉环境	sz000598
青岛双星	sz000599
建投能源	sz000600
韶能股份	sz000601
金马集团	sz000602
盛达矿业	sz000603
渤海股份	sz000605
顺利办	sz000606
华媒控股	sz000607
阳光股份	sz000608
中迪投资	sz000609
西安旅游	sz000610
*ST天首	sz000611
焦作万方	sz000612
大东海A	sz000613
京汉股份	sz000615
海航投资	sz000616
中油资本	sz000617
吉林化工	sz000618
海螺型材	sz000619
新华联	sz000620
*ST比特	sz000621
恒立实业	sz000622
吉林敖东	sz000623
长安汽车	sz000625
远大控股	sz000626
天茂集团	sz000627
高新发展	sz000628
攀钢钒钛	sz000629
铜陵有色	sz000630
顺发恒业	sz000631
三木集团	sz000632
合金投资	sz000633
英力特	sz000635
风华高科	sz000636
茂化实华	sz000637
万方发展	sz000638
西王食品	sz000639
仁和药业	sz000650
格力电器	sz000651
泰达股份	sz000652
ST九州	sz000653
金岭矿业	sz000655
金科股份	sz000656
中钨高新	sz000657
ST海洋	sz000658
珠海中富	sz000659
*ST南华	sz000660
长春高新	sz000661
天夏智慧	sz000662
永安林业	sz000663
湖北广电	sz000665
经纬纺机	sz000666
美好置业	sz000667
荣丰控股	sz000668
金鸿控股	sz000669
*ST盈方	sz000670
阳光城	sz000671
上峰水泥	sz000672
当代东方	sz000673
ST银山	sz000675
智度股份	sz000676
恒天海龙	sz000677
襄阳轴承	sz000678
大连友谊	sz000679
山推股份	sz000680
视觉中国	sz000681
东方电子	sz000682
远兴能源	sz000683
中山公用	sz000685
东北证券	sz000686
华讯方舟	sz000687
国城矿业	sz000688
ST宏业	sz000689
宝新能源	sz000690
亚太实业	sz000691
惠天热电	sz000692
华泽退	sz000693
滨海能源	sz000695
炼石航空	sz000697
沈阳化工	sz000698
S*ST佳纸	sz000699
模塑科技	sz000700
厦门信达	sz000701
正虹科技	sz000702
恒逸石化	sz000703
浙江震元	sz000705
ST双环	sz000707
大冶特钢	sz000708
河钢股份	sz000709
贝瑞基因	sz000710
京蓝科技	sz000711
锦龙股份	sz000712
丰乐种业	sz000713
中兴商业	sz000715
黑芝麻	sz000716
韶钢松山	sz000717
苏宁环球	sz000718
中原传媒	sz000719
新能泰山	sz000720
西安饮食	sz000721
湖南发展	sz000722
美锦能源	sz000723
京东方A	sz000725
鲁泰A	sz000726
华东科技	sz000727
国元证券	sz000728
燕京啤酒	sz000729
*ST环保	sz000730
四川美丰	sz000731
泰禾集团	sz000732
振华科技	sz000733
罗牛山	sz000735
中交地产	sz000736
ST南风	sz000737
航发控制	sz000738
普洛药业	sz000739
长城信息	sz000748
国海证券	sz000750
锌业股份	sz000751
*ST西发	sz000752
漳州发展	sz000753
山西路桥	sz000755
新华制药	sz000756
浩物股份	sz000757
中色股份	sz000758
中百集团	sz000759
*ST斯太	sz000760
本钢板材	sz000761
西藏矿业	sz000762
锦州石化	sz000763
*ST华信	sz000765
通化金马	sz000766
漳泽电力	sz000767
中航飞机	sz000768
*ST大菲	sz000769
广发证券	sz000776
中核科技	sz000777
新兴铸管	sz000778
甘咨询	sz000779
平庄能源	sz000780
美达股份	sz000782
长江证券	sz000783
武汉中商	sz000785
北新建材	sz000786
*ST创智	sz000787
北大医药	sz000788
万年青	sz000789
泰合健康	sz000790
甘肃电投	sz000791
*ST盐湖	sz000792
华闻传媒	sz000793
英洛华	sz000795
凯撒旅游	sz000796
中国武夷	sz000797
中水渔业	sz000798
酒鬼酒	sz000799
一汽轿车	sz000800
四川九洲	sz000801
北京文化	sz000802
金宇车城	sz000803
*ST炎黄	sz000805
ST银河	sz000806
云铝股份	sz000807
铁岭新城	sz000809
创维数字	sz000810
冰轮环境	sz000811
陕西金叶	sz000812
德展健康	sz000813
美利云	sz000815
ST慧业	sz000816
辽河油田	sz000817
航锦科技	sz000818
岳阳兴长	sz000819
*ST节能	sz000820
京山轻机	sz000821
山东海化	sz000822
超声电子	sz000823
太钢不锈	sz000825
启迪环境	sz000826
*ST长兴	sz000827
东莞控股	sz000828
天音控股	sz000829
鲁西化工	sz000830
五矿稀土	sz000831
*ST龙涤	sz000832
粤桂股份	sz000833
长城动漫	sz000835
富通鑫茂	sz000836
秦川机床	sz000837
财信发展	sz000838
中信国安	sz000839
承德露露	sz000848
华茂股份	sz000850
高鸿股份	sz000851
石化机械	sz000852
冀东装备	sz000856
五粮液	sz000858
国风塑业	sz000859
顺鑫农业	sz000860
海印股份	sz000861
银星能源	sz000862
三湘印象	sz000863
扬子石化	sz000866
*ST安凯	sz000868
张裕A	sz000869
吉电股份	sz000875
新希望	sz000876
天山股份	sz000877
云南铜业	sz000878
潍柴重机	sz000880
中广核技	sz000881
华联股份	sz000882
湖北能源	sz000883
城发环境	sz000885
海南高速	sz000886
中鼎股份	sz000887
峨眉山A	sz000888
中嘉博创	sz000889
法尔胜	sz000890
欢瑞世纪	sz000892
*ST东凌	sz000893
双汇发展	sz000895
*ST津滨	sz000897
鞍钢股份	sz000898
赣能股份	sz000899
现代投资	sz000900
航天科技	sz000901
新洋丰	sz000902
云内动力	sz000903
厦门港务	sz000905
浙商中拓	sz000906
景峰医药	sz000908
数源科技	sz000909
大亚圣象	sz000910
*ST南糖	sz000911
泸天化	sz000912
钱江摩托	sz000913
山大华特	sz000915
华北高速	sz000916
电广传媒	sz000917
嘉凯城	sz000918
金陵药业	sz000919
南方汇通	sz000920
海信家电	sz000921
佳电股份	sz000922
河北宣工	sz000923
众合科技	sz000925
福星股份	sz000926
一汽夏利	sz000927
中钢国际	sz000928
兰州黄河	sz000929
中粮生化	sz000930
中关村	sz000931
华菱钢铁	sz000932
神火股份	sz000933
四川双马	sz000935
华西股份	sz000936
冀中能源	sz000937
紫光股份	sz000938
*ST凯迪	sz000939
南天信息	sz000948
新乡化纤	sz000949
重药控股	sz000950
中国重汽	sz000951
广济药业	sz000952
*ST河化	sz000953
欣龙控股	sz000955
中原油气	sz000956
中通客车	sz000957
东方能源	sz000958
首钢股份	sz000959
锡业股份	sz000960
中南建设	sz000961
东方钽业	sz000962
华东医药	sz000963
天保基建	sz000965
长源电力	sz000966
盈峰环境	sz000967
蓝焰控股	sz000968
安泰科技	sz000969
中科三环	sz000970
*ST高升	sz000971
ST中基	sz000972
佛塑科技	sz000973
银泰资源	sz000975
华铁股份	sz000976
浪潮信息	sz000977
桂林旅游	sz000978
中弘退	sz000979
众泰汽车	sz000980
ST银亿	sz000981
*ST中绒	sz000982
西山煤电	sz000983
大庆华科	sz000985
越秀金控	sz000987
华工科技	sz000988
九芝堂	sz000989
诚志股份	sz000990
通海高科	sz000991
闽东电力	sz000993
*ST皇台	sz000995
中国中期	sz000996
新大陆	sz000997
隆平高科	sz000998
华润三九	sz000999
宗申动力	sz001696
招商港口	sz001872
豫能控股	sz001896
招商公路	sz001965
招商蛇口	sz001979
新和成	sz002001
鸿达兴业	sz002002
伟星股份	sz002003
华邦健康	sz002004
*ST德豪	sz002005
精功科技	sz002006
华兰生物	sz002007
大族激光	sz002008
天奇股份	sz002009
传化智联	sz002010
盾安环境	sz002011
凯恩股份	sz002012
中航机电	sz002013
永新股份	sz002014
协鑫能科	sz002015
世荣兆业	sz002016
东信和平	sz002017
*ST华信	sz002018
亿帆医药	sz002019
京新药业	sz002020
*ST中捷	sz002021
科华生物	sz002022
海特高新	sz002023
苏宁易购	sz002024
航天电器	sz002025
山东威达	sz002026
分众传媒	sz002027
思源电气	sz002028
七匹狼	sz002029
达安基因	sz002030
巨轮智能	sz002031
苏泊尔	sz002032
丽江旅游	sz002033
旺能环境	sz002034
华帝股份	sz002035
联创电子	sz002036
久联发展	sz002037
双鹭药业	sz002038
黔源电力	sz002039
南京港	sz002040
登海种业	sz002041
华孚时尚	sz002042
兔宝宝	sz002043
美年健康	sz002044
国光电器	sz002045
轴研科技	sz002046
宝鹰股份	sz002047
宁波华翔	sz002048
紫光国微	sz002049
